,x,y
0,-9.04,-22.599999999999998
1,0.0,-22.599999999999998
2,9.04,-22.599999999999998
3,13.559999999999999,-18.08
4,4.52,-18.08
5,-4.52,-18.08
6,-13.559999999999999,-18.08
7,-18.08,-13.559999999999999
8,-9.04,-13.559999999999999
9,0.0,-13.559999999999999
10,9.04,-13.559999999999999
11,18.08,-13.559999999999999
12,22.599999999999998,-9.04
13,13.559999999999999,-9.04
14,4.52,-9.04
15,-4.52,-9.04
16,-13.559999999999999,-9.04
17,-22.599999999999998,-9.04
18,-18.08,-4.52
19,-9.04,-4.52
20,0.0,-4.52
21,9.04,-4.52
22,18.08,-4.52
23,22.599999999999998,0.0
24,13.559999999999999,0.0
25,4.52,0.0
26,-4.52,0.0
27,-13.559999999999999,0.0
28,-22.599999999999998,0.0
29,-18.08,4.52
30,-9.04,4.52
31,0.0,4.52
32,9.04,4.52
33,18.08,4.52
34,22.599999999999998,9.04
35,13.559999999999999,9.04
36,4.52,9.04
37,-4.52,9.04
38,-13.559999999999999,9.04
39,-22.599999999999998,9.04
40,-18.08,13.559999999999999
41,-9.04,13.559999999999999
42,0.0,13.559999999999999
43,9.04,13.559999999999999
44,18.08,13.559999999999999
45,13.559999999999999,18.08
46,4.52,18.08
47,-4.52,18.08
48,-13.559999999999999,18.08
49,-9.04,22.599999999999998
50,0.0,22.599999999999998
51,9.04,22.599999999999998
